x,y,z,yaw,index
-2.436, -0.709, -0.497, -1.132, 0
-2.312, -0.729, 0.451, 0.381, 1
-2.328, -0.229, -0.008, 0.779, 2
-2.535, 0.297, -0.468, 0.919, 3
-2.447, 0.309, 0.47, 0.992, 4
-2.413, -0.717, -0.501, -1.26, 0
-2.315, -0.743, 0.444, 0.381, 1
-2.315, -0.24, -0.015, -0.324, 2
-2.522, 0.282, -0.474, 0.913, 3
-2.433, 0.294, 0.461, 0.959, 4
-2.422, -0.718, -0.504, -1.119, 0
-2.314, -0.739, 0.443, 0.484, 1
-2.321, -0.239, -0.016, 0.784, 2
-2.516, 0.282, -0.474, 0.706, 3
-2.432, 0.298, 0.46, 0.994, 4
-2.474, -0.723, -0.517, -1.055, 0
-2.32, -0.728, 0.439, 0.444, 1
-2.29, -0.226, -0.018, -0.327, 2
-2.515, 0.292, -0.475, 0.698, 3
-2.442, 0.311, 0.461, 0.966, 4
-2.484, -0.701, -0.521, -0.978, 0
-2.33, -0.708, 0.438, 0.401, 1
-2.308, -0.205, -0.018, -0.234, 2
-2.526, 0.318, -0.476, 0.504, 3
-2.419, 0.331, 0.461, 0.839, 4
-2.448, -0.665, -0.509, 0.969, 0
-2.326, -0.69, 0.443, 0.361, 1
-2.328, -0.187, -0.012, 0.073, 2
-2.548, 0.346, -0.474, 0.817, 3
-2.428, 0.349, 0.471, 0.889, 4
-2.433, -0.648, -0.494, 1.126, 0
-2.312, -0.677, 0.451, 0.375, 1
-2.314, -0.178, -0.003, 1.309, 2
-2.523, 0.353, -0.459, 0.852, 3
-2.424, 0.357, 0.48, 0.929, 4
-2.421, -0.642, -0.481, 1.209, 0
-2.325, -0.675, 0.46, 0.378, 1
-2.327, -0.175, 0.004, -0.738, 2
-2.498, 0.353, -0.449, 0.785, 3
-2.415, 0.362, 0.482, 0.948, 4
-2.448, -0.646, -0.481, 1.169, 0
-2.321, -0.665, 0.463, 0.309, 1
-2.301, -0.168, 0.006, -0.664, 2
-2.51, 0.359, -0.45, 0.829, 3
-2.421, 0.372, 0.484, 0.909, 4
-2.467, -0.64, -0.484, -1.158, 0
-2.341, -0.659, 0.462, 0.559, 1
-2.311, -0.158, 0.004, -1.17, 2
-2.5, 0.367, -0.45, 0.785, 3
-2.435, 0.386, 0.483, 0.961, 4
-2.478, -0.628, -0.493, -1.213, 0
-2.33, -0.644, 0.451, 0.512, 1
-2.307, -0.145, -0.003, 0.688, 2
-2.499, 0.381, -0.456, 0.91, 3
-2.421, 0.395, 0.475, 0.908, 4
-2.461, -0.613, -0.497, 1.208, 0
-2.346, -0.641, 0.448, 0.495, 1
-2.316, -0.138, -0.009, 1.101, 2
-2.509, 0.394, -0.464, 1.079, 3
-2.425, 0.402, 0.47, 0.87, 4
-2.456, -0.608, -0.502, 1.289, 0
-2.345, -0.638, 0.443, 0.446, 1
-2.311, -0.136, -0.014, 0.934, 2
-2.497, 0.395, -0.469, 0.85, 3
-2.431, 0.405, 0.465, 0.881, 4
-2.466, -0.611, -0.508, 1.193, 0
-2.349, -0.636, 0.44, 0.401, 1
-2.306, -0.134, -0.019, 1.139, 2
-2.495, 0.396, -0.476, 1.01, 3
-2.428, 0.408, 0.458, 0.858, 4
-2.461, -0.608, -0.51, 0.992, 0
-2.334, -0.627, 0.434, 0.418, 1
-2.312, -0.131, -0.022, -0.744, 2
-2.501, 0.399, -0.482, 1.049, 3
-2.421, 0.411, 0.452, 0.838, 4
-2.474, -0.606, -0.513, -1.081, 0
-2.348, -0.623, 0.435, -0.473, 1
-2.306, -0.125, -0.024, 0.917, 2
-2.479, 0.4, -0.48, 0.898, 3
-2.428, 0.419, 0.45, 0.814, 4
-2.457, -0.596, -0.514, 1.078, 0
-2.342, -0.614, 0.429, -0.525, 1
-2.305, -0.119, -0.029, 0.816, 2
-2.499, 0.41, -0.491, 0.998, 3
-2.443, 0.43, 0.446, 0.749, 4
-2.492, -0.598, -0.525, -1.042, 0
-2.351, -0.605, 0.427, 0.488, 1
-2.333, -0.113, -0.035, 0.683, 2
-2.491, 0.415, -0.498, 0.842, 3
-2.416, 0.435, 0.435, 0.781, 4
-2.452, -0.581, -0.517, 1.108, 0
-2.373, -0.601, 0.433, 0.455, 1
-2.328, -0.104, -0.036, 1.012, 2
-2.493, 0.423, -0.503, 0.803, 3
-2.408, 0.444, 0.432, 0.784, 4
-2.47, -0.578, -0.517, 1.211, 0
-2.357, -0.588, 0.433, 0.444, 1
-2.32, -0.097, -0.034, 1.454, 2
-2.492, 0.429, -0.503, 0.821, 3
-2.425, 0.456, 0.435, 0.827, 4
-2.469, -0.572, -0.513, 1.155, 0
-2.359, -0.58, 0.435, 0.48, 1
-2.324, -0.091, -0.032, 1.304, 2
-2.478, 0.433, -0.499, 0.946, 3
-2.405, 0.461, 0.432, 0.763, 4
-2.472, -0.565, -0.511, 0.981, 0
-2.384, -0.579, 0.442, 0.381, 1
-2.315, -0.083, -0.03, -0.605, 2
-2.488, 0.442, -0.5, 1.008, 3
-2.403, 0.468, 0.434, 0.758, 4
-2.452, -0.556, -0.504, 1.165, 0
-2.357, -0.572, 0.442, 0.514, 1
-2.325, -0.081, -0.027, 0.823, 2
-2.484, 0.446, -0.496, 0.889, 3
-2.403, 0.47, 0.439, 0.755, 4
-2.471, -0.565, -0.499, 1.186, 0
-2.362, -0.579, 0.453, 0.428, 1
-2.307, -0.086, -0.018, -0.448, 2
-2.489, 0.442, -0.49, 1.041, 3
-2.402, 0.464, 0.446, 0.796, 4
-2.483, -0.574, -0.492, 1.208, 0
-2.361, -0.58, 0.461, 0.529, 1
-2.317, -0.09, -0.011, -0.994, 2
-2.476, 0.433, -0.479, 1.037, 3
-2.429, 0.468, 0.458, 0.839, 4
-2.475, -0.568, -0.488, 1.242, 0
-2.353, -0.571, 0.457, 0.658, 1
-2.32, -0.084, -0.011, -0.921, 2
-2.502, 0.441, -0.483, 1.104, 3
-2.417, 0.473, 0.454, 0.809, 4
-2.482, -0.562, -0.494, 1.123, 0
-2.363, -0.566, 0.452, -0.503, 1
-2.315, -0.077, -0.017, 1.179, 2
-2.483, 0.447, -0.485, 1.178, 3
-2.429, 0.483, 0.45, 0.751, 4
-2.475, -0.554, -0.499, 1.286, 0
-2.371, -0.564, 0.447, 0.579, 1
-2.296, -0.072, -0.023, 1.236, 2
-2.48, 0.452, -0.492, 1.003, 3
-2.414, 0.483, 0.441, 0.785, 4
-2.477, -0.553, -0.505, 1.117, 0
-2.372, -0.563, 0.445, 0.438, 1
-2.309, -0.071, -0.026, 1.039, 2
