x,y,z,yaw,index
-1.712, 0.298, 0.342, 0.921, 1
-1.675, 0.875, 0.023, 0.116, 2
-1.829, 0.268, -0.197, 1.321, 0
-1.704, 0.306, 0.343, 0.926, 1
-1.668, 0.882, 0.025, 0.108, 2
-1.826, 0.275, -0.195, 1.274, 0
-1.707, 0.312, 0.344, 0.675, 1
-1.673, 0.892, 0.026, 0.143, 2
-1.821, 0.276, -0.198, 1.349, 0
-1.696, 0.313, 0.336, 0.709, 1
-1.678, 0.897, 0.02, 0.127, 2
-1.821, 0.276, -0.207, 1.262, 0
-1.707, 0.318, 0.331, 0.576, 1
-1.685, 0.902, 0.008, 0.127, 2
-1.816, 0.277, -0.211, 1.286, 0
-1.702, 0.323, 0.327, 0.562, 1
-1.668, 0.897, 0.0, 0.097, 2
-1.824, 0.281, -0.21, 1.315, 0
-1.707, 0.332, 0.329, 0.895, 1
-1.672, 0.904, -0.003, 0.088, 2
-1.821, 0.285, -0.209, 1.247, 0
-1.704, 0.336, 0.329, 0.473, 1
-1.666, 0.906, -0.005, 0.091, 2
-1.822, 0.285, -0.212, 1.202, 0
-1.697, 0.332, 0.323, 0.73, 1
-1.675, 0.91, -0.007, 0.096, 2
-1.821, 0.28, -0.218, 1.139, 0
-1.706, 0.325, 0.318, 0.722, 1
-1.686, 0.907, -0.011, 0.082, 2
-1.83, 0.273, -0.224, 1.14, 0
-1.711, 0.316, 0.315, 0.846, 1
-1.692, 0.9, -0.014, 0.062, 2
-1.828, 0.266, -0.226, 1.217, 0
-1.72, 0.312, 0.314, 0.809, 1
-1.691, 0.892, -0.015, 0.076, 2
-1.824, 0.262, -0.228, 1.22, 0
-1.713, 0.308, 0.309, 0.735, 1
-1.698, 0.892, -0.018, 0.101, 2
-1.835, 0.261, -0.232, 1.211, 0
-1.712, 0.305, 0.306, 0.735, 1
-1.693, 0.885, -0.023, 0.088, 2
-1.842, 0.257, -0.234, 1.204, 0
-1.722, 0.304, 0.307, 0.674, 1
-1.694, 0.881, -0.025, 0.06, 2
-1.831, 0.252, -0.233, 1.239, 0
-1.72, 0.301, 0.305, 0.801, 1
-1.685, 0.874, -0.025, 0.087, 2
-1.845, 0.253, -0.237, 1.119, 0
-1.72, 0.298, 0.303, 0.665, 1
-1.697, 0.877, -0.027, 0.075, 2
-1.842, 0.25, -0.238, 1.269, 0
-1.727, 0.297, 0.304, 0.761, 1
-1.694, 0.872, -0.027, 0.057, 2
-1.842, 0.25, -0.234, 1.331, 0
-1.716, 0.293, 0.306, 0.723, 1
-1.703, 0.876, -0.021, 0.092, 2
-1.843, 0.249, -0.231, 1.21, 0
-1.724, 0.291, 0.31, 0.653, 1
-1.684, 0.864, -0.016, 0.077, 2
