x,y,z,yaw,index
-3.865, -1.594, 0.008, 0.437, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.71, -0.534, 0.018, 1.504, 2
-3.869, -0.023, -0.564, 1.549, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.707, 0.678, 0.065, -0.025, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.71, -0.534, 0.018, 1.504, 2
-3.878, -0.023, -0.565, 1.461, 3
-3.82, 0.704, -0.487, 1.248, 4
-3.719, 0.68, 0.065, -0.025, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.814, -1.574, 0.008, 0.371, 0
-3.71, -0.534, 0.018, 1.504, 2
-3.865, -0.022, -0.563, 1.507, 3
-3.821, 0.704, -0.487, 1.165, 4
-3.704, 0.678, 0.065, -0.085, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.819, -1.575, 0.008, 0.415, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.865, -0.022, -0.563, 1.507, 3
-3.836, 0.707, -0.489, 1.323, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.849, -1.588, 0.008, 0.369, 0
-3.902, -1.023, -0.545, 0.994, 1
-3.703, -0.533, 0.018, 1.292, 2
-3.883, -0.023, -0.566, 1.549, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.805, -1.57, 0.008, 0.342, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.71, -0.534, 0.018, 1.504, 2
-3.878, -0.023, -0.565, 1.461, 3
-3.829, 0.706, -0.488, 1.385, 4
-3.713, 0.679, 0.065, -0.017, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.859, -1.592, 0.008, 0.413, 0
-3.89, -1.019, -0.543, 0.873, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.883, -0.023, -0.566, 1.549, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.7, 0.677, 0.065, -0.017, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.865, -1.594, 0.008, 0.437, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.698, -0.533, 0.018, 1.504, 2
-3.883, -0.023, -0.566, 1.549, 3
-3.815, 0.703, -0.486, 1.386, 4
-3.7, 0.677, 0.065, -0.017, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.805, -1.569, 0.009, 0.362, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.864, -0.023, -0.563, 1.461, 3
-3.815, 0.703, -0.486, 1.386, 4
-3.709, 0.678, 0.065, 0.015, 5
-3.814, 1.318, -0.178, -0.13, 6
-3.836, -1.582, 0.009, 0.417, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.864, -0.023, -0.563, 1.461, 3
-3.822, 0.704, -0.487, 1.324, 4
-3.696, 0.676, 0.065, 0.015, 5
-3.829, 1.323, -0.178, -0.132, 6
-3.847, -1.586, 0.008, 0.438, 0
-3.91, -1.025, -0.546, 0.936, 1
-3.691, -0.532, 0.018, 1.292, 2
-3.864, -0.023, -0.563, 1.461, 3
-3.836, 0.707, -0.489, 1.323, 4
-3.7, 0.677, 0.065, -0.017, 5
-3.789, 1.309, -0.176, -0.158, 6
-3.86, -1.592, 0.008, 0.39, 0
